year,O_D,Team,Tot Pts,RushYds,PassYds,TotYds
2014,offense,Carolina Panthers,339,2036,3511,5547
2014,offense,Detroit Lions,321,1422,4030,5452
2014,offense,San Francisco 49ers,306,2176,3063,5239
2014,offense,Chicago Bears,319,1441,3792,5233
2014,offense,Arizona Cardinals,310,1308,3808,5116
2014,offense,Minnesota Vikings,325,1804,3244,5048
2014,offense,St. Louis Rams,324,1635,3400,5035
2014,offense,Tampa Bay Buccaneers,277,1375,3297,4672
2015,offense,Arizona Cardinals,489,1917,4616,6533
2015,offense,New Orleans Saints,408,1491,4970,6461
2015,offense,Seattle Seahawks,423,2268,3790,6058
2015,offense,Tampa Bay Buccaneers,342,2162,3852,6014
2015,offense,Atlanta Falcons,339,1606,4379,5985
2015,offense,New York Giants,420,1609,4343,5952
2015,offense,Carolina Panthers,500,2282,3589,5871
2015,offense,Philadelphia Eagles,377,1743,4087,5830
2015,offense,Washington Redskins,388,1566,4095,5661
2015,offense,Detroit Lions,358,1335,4212,5547
2015,offense,Chicago Bears,335,1854,3660,5514
2015,offense,Dallas Cowboys,275,1890,3471,5361
2015,offense,Green Bay Packers,368,1850,3503,5353
2015,offense,Minnesota Vikings,365,2211,2928,5139
2015,offense,San Francisco 49ers,238,1544,3316,4860
2015,offense,St. Louis Rams,280,1956,2805,4761
2016,offense,New Orleans Saints,469,1742,5074,6816
2016,offense,Atlanta Falcons,540,1928,4725,6653
2016,offense,Washington Redskins,396,1696,4758,6454
2016,offense,Dallas Cowboys,421,2396,3631,6027
2016,offense,Green Bay Packers,432,1701,4199,5900
2016,offense,Arizona Cardinals,418,1732,4136,5868
2016,offense,Seattle Seahawks,354,1591,4124,5715
2016,offense,Chicago Bears,279,1735,3969,5704
2016,offense,Tampa Bay Buccaneers,354,1616,3926,5542
2016,offense,Carolina Panthers,369,1814,3685,5499
2016,offense,Detroit Lions,346,1310,4111,5421
2016,offense,Philadelphia Eagles,367,1813,3585,5398
2016,offense,New York Giants,310,1412,3879,5291
2016,offense,Minnesota Vikings,327,1205,3836,5041
2016,offense,San Francisco 49ers,309,2019,2911,4930
2016,offense,Los Angeles Rams,224,1252,2951,4203
2017,offense,New Orleans Saints,448,2070,4189,6259
2017,offense,Philadelphia Eagles,457,2115,3737,5852
2017,offense,Atlanta Falcons,353,1847,3990,5837
2017,offense,Tampa Bay Buccaneers,335,1450,4366,5816
2017,offense,Los Angeles Rams,478,1953,3831,5784
2017,offense,Minnesota Vikings,382,1957,3753,5710
2017,offense,San Francisco 49ers,331,1662,3925,5587
2017,offense,Detroit Lions,410,1221,4183,5404
2017,offense,Dallas Cowboys,354,2170,3141,5311
2017,offense,Seattle Seahawks,366,1629,3657,5286
2017,offense,Washington Redskins,342,1448,3751,5199
2017,offense,Carolina Panthers,363,2102,3077,5179
2017,offense,New York Giants,246,1549,3479,5028
2017,offense,Arizona Cardinals,295,1386,3640,5026
2017,offense,Green Bay Packers,320,1724,3167,4891
2017,offense,Chicago Bears,264,1788,2811,4599
2018,offense,Tampa Bay Buccaneers,294,1083,3914,4997
2018,offense,Los Angeles Rams,389,1524,3411,4935
2018,offense,New Orleans Saints,409,1464,3119,4583
2018,offense,Atlanta Falcons,280,914,3486,4400
2018,offense,Green Bay Packers,264,1170,3072,4242
2018,offense,Carolina Panthers,287,1522,2556,4078
2018,offense,Minnesota Vikings,265,938,3115,4053
2018,offense,Seattle Seahawks,276,1618,2290,3908
2018,offense,San Francisco 49ers,239,1484,2423,3907
2018,offense,Philadelphia Eagles,230,1109,2784,3893
2018,offense,New York Giants,237,1009,2855,3864
2018,offense,Chicago Bears,317,1267,2576,3843
2018,offense,Detroit Lions,238,1115,2655,3770
2018,offense,Dallas Cowboys,234,1479,2195,3674
2018,offense,Washington Redskins,220,1295,2351,3646
2018,offense,Arizona Cardinals,155,850,1707,2557
2008,defense,Philadelphia Eagles,289,1476,2913,4389
2008,defense,Washington Redskins,296,1526,3095,4621
2008,defense,New York Giants,294,1533,3139,4672
2008,defense,Minnesota Vikings,333,1230,3449,4679
2008,defense,Dallas Cowboys,365,1706,3003,4709
2008,defense,Tampa Bay Buccaneers,323,1901,2997,4898
2008,defense,San Francisco 49ers,381,1709,3507,5216
2008,defense,Carolina Panthers,329,1912,3387,5299
2008,defense,Arizona Cardinals,426,1764,3540,5304
2008,defense,Green Bay Packers,380,2105,3244,5349
2008,defense,Chicago Bears,350,1496,3859,5355
2008,defense,New Orleans Saints,393,1885,3547,5432
2008,defense,Atlanta Falcons,325,2046,3526,5572
2008,defense,St. Louis Rams,465,2475,3475,5950
2008,defense,Seattle Seahawks,392,1899,4149,6048
2008,defense,Detroit Lions,517,2754,3716,6470
2009,defense,Green Bay Packers,297,1333,3218,4551
2009,defense,Minnesota Vikings,312,1394,3494,4888
2009,defense,Carolina Panthers,308,1997,3056,5053
2009,defense,Dallas Cowboys,250,1448,3606,5054
2009,defense,Washington Redskins,336,1799,3316,5115
2009,defense,Philadelphia Eagles,337,1675,3462,5137
2009,defense,New York Giants,427,1773,3425,5198
2009,defense,San Francisco 49ers,281,1552,3670,5222
2009,defense,Chicago Bears,375,2022,3382,5404
2009,defense,Arizona Cardinals,325,1804,3739,5543
2009,defense,Atlanta Falcons,325,1711,3871,5582
2009,defense,Seattle Seahawks,390,1776,3927,5703
2009,defense,New Orleans Saints,341,1955,3769,5724
2009,defense,Tampa Bay Buccaneers,400,2531,3318,5849
2009,defense,St. Louis Rams,436,2201,3764,5965
2009,defense,Detroit Lions,494,2025,4249,6274
2010,defense,New Orleans Saints,307,1797,3103,4900
2010,defense,Green Bay Packers,240,1838,3107,4945
2010,defense,New York Giants,347,1620,3352,4972
2010,defense,Minnesota Vikings,348,1635,3367,5002
2010,defense,Chicago Bears,286,1441,3588,5029
2010,defense,Philadelphia Eagles,377,1766,3469,5235
2010,defense,San Francisco 49ers,346,1547,3697,5244
2010,defense,Atlanta Falcons,288,1694,3625,5319
2010,defense,Tampa Bay Buccaneers,318,2107,3216,5323
2010,defense,Carolina Panthers,408,1981,3393,5374
2010,defense,St. Louis Rams,328,1810,3578,5388
2010,defense,Detroit Lions,369,1999,3498,5497
2010,defense,Dallas Cowboys,436,1734,3894,5628
2010,defense,Seattle Seahawks,407,1903,3994,5897
2010,defense,Arizona Cardinals,434,2323,3654,5977
2010,defense,Washington Redskins,377,2041,4187,6228
2011,defense,San Francisco 49ers,229,1236,3695,4931
2011,defense,Philadelphia Eagles,328,1801,3397,5198
2011,defense,Seattle Seahawks,315,1797,3518,5315
2011,defense,Atlanta Falcons,350,1552,3786,5338
2011,defense,Washington Redskins,367,1884,3553,5437
2011,defense,Dallas Cowboys,347,1585,3906,5491
2011,defense,Chicago Bears,341,1542,4065,5607
2011,defense,Arizona Cardinals,348,1986,3696,5682
2011,defense,Minnesota Vikings,449,1712,4019,5731
2011,defense,St. Louis Rams,407,2433,3301,5734
2011,defense,Detroit Lions,387,2050,3831,5881
2011,defense,New Orleans Saints,339,1738,4157,5895
2011,defense,New York Giants,400,1940,4082,6022
2011,defense,Carolina Panthers,429,2093,3949,6042
2011,defense,Tampa Bay Buccaneers,494,2497,3814,6311
